C_sys,C_right,V_cap,PID_7A_loop,PID_45W_loop,output voltage,cal duty,PID duty
0.419048,-0.038681,24.811649,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.070916,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.109597,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.219194,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.206300,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.283663,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.199854,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.141832,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.096703,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.096703,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.103150,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.167619,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.180513,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.335238,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.399707,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.238535,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.225641,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.032234,24.811649,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.154725,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.025788,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.083810,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.103150,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.554433,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.244982,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.058022,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.109597,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.083810,24.811649,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.019341,24.811649,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.077363,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.244982,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.193407,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.277216,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.122491,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.135385,24.811649,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.083810,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
