C_right,v_cap,C_sys,PID_7A_loop,PID_45W_loop,PID_n7A_loop,supercap_max_power_current,supercap_target_voltage
-0.876777,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.411060
-0.554433,19.430916,1.237803,15.441905,24.997803,23.411060,1.979195,23.411060
-0.974624,19.422127,1.244250,15.433040,24.997803,23.419926,1.979195,23.419926
-0.483517,19.430916,1.237803,15.441905,24.997803,23.420338,1.979195,23.419926
-0.838096,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.921905,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.883209,19.430916,1.237803,15.441905,24.997803,23.411060,1.979195,23.411060
-0.728499,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.599561,19.430916,1.237803,15.441905,24.997803,23.411060,1.979195,23.419926
-0.979927,19.430916,1.236437,15.441905,24.997803,23.419926,1.979195,23.419926
-1.089524,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.428789
-0.657583,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.928352,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.618901,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-1.050843,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.670477,19.430916,1.237803,15.459633,24.997803,23.428789,1.979195,23.419926
-0.638242,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.999268,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.870330,19.439779,1.244250,15.450769,24.997803,23.419926,1.979195,23.419926
-0.580220,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.838096,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.496411,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.855488,19.430916,1.244250,15.441905,24.997803,23.419926,1.979195,23.419926
-1.050843,19.439779,1.244250,15.450769,24.997803,23.419926,1.979195,23.419926
-0.709158,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.844543,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.631795,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-1.076631,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.909011,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.805861,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-1.037614,19.430916,1.237803,15.441905,24.997803,23.411060,1.979195,23.419926
-0.799414,19.422050,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.696264,19.430916,1.244250,15.468498,24.997803,23.446522,1.979195,23.419926
-0.522198,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.428789
-0.496411,19.422201,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.599561,19.439779,1.244250,15.450769,24.997803,23.419926,1.979195,23.419926
-0.599561,19.422050,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.870330,19.430916,1.245615,15.441905,24.997803,23.419926,1.979195,23.419926
-0.825202,19.430916,1.244250,15.441905,24.997803,23.419926,1.979195,23.419926
-0.734945,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.567326,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.428789
-0.644689,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.818755,19.422050,1.237803,15.441905,24.997803,23.428789,1.979195,23.419926
-0.696264,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
-0.747839,19.430916,1.237803,15.441905,24.997803,23.419926,1.979195,23.419926
